Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      217     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_List_base(std::allocator<std::_List_node<StackElement> >&&)
  0.00      0.00     0.00      217     0.00     0.00  void std::__cxx11::list<StackElement, std::allocator<StackElement> >::_M_initialize_dispatch<std::_List_const_iterator<StackElement> >(std::_List_const_iterator<StackElement>, std::_List_const_iterator<StackElement>, std::__false_type)
  0.00      0.00     0.00      217     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::list(std::__cxx11::list<StackElement, std::allocator<StackElement> > const&)
  0.00      0.00     0.00      192     0.00     0.00  incomingType(std::__cxx11::list<StackElement, std::allocator<StackElement> >)
  0.00      0.00     0.00      192     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::size() const
  0.00      0.00     0.00      190     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_impl::_M_swap_data(std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_impl&)
  0.00      0.00     0.00      190     0.00     0.00  std::remove_reference<std::deque<StackElement, std::allocator<StackElement> >&>::type&& std::move<std::deque<StackElement, std::allocator<StackElement> >&>(std::deque<StackElement, std::allocator<StackElement> >&)
  0.00      0.00     0.00      190     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<StackElement**> >, std::is_move_constructible<StackElement**>, std::is_move_assignable<StackElement**> >::value, void>::type std::swap<StackElement**>(StackElement**&, StackElement**&)
  0.00      0.00     0.00      190     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<unsigned long> >, std::is_move_constructible<unsigned long>, std::is_move_assignable<unsigned long> >::value, void>::type std::swap<unsigned long>(unsigned long&, unsigned long&)
  0.00      0.00     0.00      172     0.00     0.00  StackElement::StackElement()
  0.00      0.00     0.00      122     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::push_back(StackElement const&)
  0.00      0.00     0.00       97     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_dec_size(unsigned long)
